ride_month,station,lat,long,ride_count
1,Douglass St & 4 Ave,40.6792788,-73.98154004,469
1,Driggs Ave & Lorimer St,40.72179134,-73.9504154,484
1,Driggs Ave & N Henry St,40.72325,-73.94308,571
1,Duane St & Greenwich St,40.71748752,-74.0104554,905
1,Duffield St & Willoughby St,40.69221589,-73.9842844,664
1,E 10 St & 5 Ave,40.73331967,-73.99510132,1444
1,E 10 St & Avenue A,40.72740794,-73.98142006,2974
1,E 102 St & 1 Ave,40.7869946,-73.94164802,467
1,E 102 St & Park Ave,40.7904828,-73.95033068,237
1,E 103 St & Lexington Ave,40.7903051,-73.94755757,354
1,E 106 St & 1 Ave,40.7892529,-73.93956237,255
1,E 106 St & Lexington Ave,40.791976,-73.945993,189
1,E 106 St & Madison Ave,40.7934337,-73.94945003,226
1,E 109 St & 3 Ave,40.79329668,-73.9432083,322
1,E 11 St & 1 Ave,40.72953837,-73.98426726,2178
1,E 11 St & 2 Ave,40.73047309,-73.98672378,2610
1,E 11 St & Broadway,40.73261787,-73.99158043,1434
1,E 110 St & Madison Ave,40.7961535,-73.94782145,401
1,E 12 St & 3 Ave,40.73223272,-73.98889957,2670
1,E 13 St & Avenue A,40.72955361,-73.98057249,2650
1,E 14 St & Avenue B,40.72938685,-73.97772429,3020
1,E 15 St & 3 Ave,40.734232,-73.986923,2683
1,E 16 St & 5 Ave,40.73726186,-73.99238967,2825
1,E 16 St & Irving Pl,40.73524276,-73.98758561,2203
1,E 17 St & Broadway,40.73704984,-73.99009296,5110
1,E 19 St & 3 Ave,40.73624527,-73.98473765,1727
1,E 2 St & 2 Ave E,40.7245634290432,-73.9894437789917,1159
1,E 2 St & Avenue B,40.72217444,-73.98368779,2486
1,E 2 St & Avenue C,40.7208736,-73.98085795,1714
1,E 20 St & 2 Ave,40.73587678,-73.98205027,2782
1,E 20 St & FDR Drive,40.73314259,-73.97573881,2477
1,E 20 St & Park Ave,40.73827428,-73.98751968,2490
1,E 23 St & 1 Ave,40.736502,-73.97809472,2631
1,E 24 St & Park Ave S,40.74096374,-73.98602213,2942
1,E 25 St & 1 Ave,40.7381765,-73.97738662,2122
1,E 25 St & 2 Ave,40.73912601,-73.97973776,2839
1,E 27 St & 1 Ave,40.739445,-73.976806,2318
1,E 3 St & 1 Ave,40.72467721,-73.98783413,2187
1,E 30 St & Park Ave S,40.74444921,-73.98303529,2373
1,E 31 St & 3 Ave,40.74394314,-73.97966069,2494
1,E 32 St & Park Ave,40.7457121,-73.98194829,3333
1,E 33 St & 2 Ave,40.744023,-73.976056,3403
1,E 33 St & 5 Ave,40.74765947,-73.98490707,2459
1,E 35 St & 3 Ave,40.746524,-73.977885,1339
1,E 39 St & 2 Ave,40.74780373,-73.9734419,3032
1,E 39 St & 3 Ave,40.7489006,-73.97604882,2361
1,E 4 St & 2 Ave,40.7262807,-73.98978041,2157
1,E 40 St & 5 Ave,40.752062307,-73.9816324043,2489
1,E 41 St & Madison Ave,40.752165280621966,-73.979921936988816,1542
1,E 43 St & 2 Ave,40.75022392,-73.97121414,1103
1,E 45 St & 3 Ave,40.75255434,-73.97282625,1752
1,E 47 St & 1 Ave,40.75206862,-73.96784384,808
1,E 47 St & 2 Ave,40.75323098,-73.97032517,1591
1,E 47 St & Park Ave,40.75510267,-73.97498696,3704
1,E 48 St & 3 Ave,40.7546011026,-73.971878855,1709
1,E 48 St & 5 Ave,40.757245679117261,-73.978059142827988,2489
1,E 5 St & Avenue C,40.72299208,-73.97995466,1364
1,E 51 St & 1 Ave,40.75455731,-73.96592976,949
1,E 51 St & Lexington Ave,40.75714758,-73.97207836,1764
1,E 52 St & 2 Ave,40.756014,-73.967416,1707
1,E 53 St & Lexington Ave,40.75828065,-73.97069431,1198
1,E 53 St & Madison Ave,40.7597108,-73.97402311,1886
1,E 55 St & 2 Ave,40.75797322,-73.96603308,1886
1,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,1550
1,E 55 St & Lexington Ave,40.75968085,-73.97031366,1219
1,E 58 St & 1 Ave,40.75892386377695,-73.962262272834778,891
1,E 58 St & 3 Ave,40.76095756,-73.96724467,2167
1,E 59 St & Madison Ave,40.76350532,-73.97109243,1613
1,E 6 St & Avenue B,40.72453734,-73.98185424,2229
1,E 6 St & Avenue D,40.72228087,-73.97668709,872
1,E 60 St & York Ave,40.759107,-73.959223,565
1,E 61 St & Park Ave,40.764210071690634,-73.969104588031769,171
1,E 65 St & 2 Ave,40.764718519443392,-73.962220698595047,644
1,E 66 St & Madison Ave,40.768008893059474,-73.96845281124115,418
1,E 67 St & Park Ave,40.767800801481322,-73.965920805931091,560
1,E 68 St & 3 Ave,40.76712840349542,-73.962246179580688,650
1,E 68 St & Madison Ave,40.7691572,-73.96703464,399
1,E 7 St & Avenue A,40.72621788,-73.98379855,3067
1,E 72 St & Park Ave,40.771182875406581,-73.964094221591949,800
1,E 72 St & York Ave,40.76663814,-73.95348296,1904
1,E 74 St & 1 Ave,40.7689738,-73.95482273,1124
1,E 75 St & 3 Ave,40.77112927,-73.95772297,791
1,E 76 St & 3 Ave,40.772248537721744,-73.958421349525452,696
1,E 76 St & Park Ave,40.773763,-73.96222088,802
1,E 78 St & 2 Ave,40.7727966,-73.95577801,496
1,E 80 St & 2 Ave,40.773913902381182,-73.9543953537941,765
1,E 81 St & 3 Ave,40.77573034,-73.9567526,824
1,E 81 St & Park Ave,40.77677702,-73.9590097,430
1,E 81 St & York Ave,40.7728384,-73.94989233,856
1,E 84 St & 1 Ave,40.77565541,-73.95068615,948
1,E 84 St & Park Ave,40.77862688,-73.95772073,966
1,E 85 St & 3 Ave,40.77801203,-73.95407149,1740
1,E 85 St & York Ave,40.77536905,-73.94803392,868
1,E 88 St & 1 Ave,40.778301,-73.9488134,759
1,E 88 St & Park Ave,40.781410700190015,-73.95595908164978,483
1,E 89 St & 3 Ave,40.7806284,-73.9521667,779
1,E 89 St & York Ave,40.7779453,-73.946041,539
1,E 9 St & Avenue C,40.72521311,-73.97768752,1836
1,E 91 St & 2 Ave,40.781122299341661,-73.949655890464783,947
1,E 91 St & Park Ave,40.7835016,-73.955327,661
1,E 95 St & 3 Ave,40.7849032,-73.950503,406
1,E 97 St & 3 Ave,40.7859201,-73.94860294,273
1,E 97 St & Madison Ave,40.787801,-73.953559,721
1,East End Ave & E 86 St,40.77518615,-73.94446054,354
1,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,544
1,FDR Drive & E 35 St,40.744219,-73.97121214,1387
1,Forsyth St & Broome St,40.71893904,-73.99266288,2384
1,Forsyth St & Canal St,40.7158155,-73.99422366,1582
1,Franklin Ave & Myrtle Ave,40.694528,-73.958089,248
1,Franklin St & Dupont St,40.73564,-73.95866,332
1,Franklin St & W Broadway,40.71911552,-74.00666661,1079
1,Front St & Gold St,40.70224,-73.982578,327
1,Front St & Maiden Ln,40.70530954,-74.00612572,1015
1,Front St & Washington St,40.70255088,-73.98940236,1012
1,Frost St & Meeker St,40.71764,-73.94882,406
1,Fulton St & Adams St,40.692418292578466,-73.989494740962982,724
1,Fulton St & Broadway,40.711066,-74.009447,1411
1,Fulton St & Clermont Ave,40.68415748,-73.96922273,326
1,Fulton St & Grand Ave,40.68223166,-73.9614583,427
1,Fulton St & Rockwell Pl,40.688226,-73.979382,475
1,Fulton St & Utica Ave,40.6794268,-73.9298911,250
